   MULLIKEN OVERLAP POPULATIONS
  i      j                   value 
   22    14    2.8772657596816965e-15
   22    15    1.5483819077202303e-02
   22    16    7.9641819117694671e-16
   22    17    1.7536366984278845e-15
   22    18    6.5710715940688232e-03
   22    19    3.9384740347115291e-16
   22    20    6.6269317545696429e-16
   22    21    2.1848281415666176e-03
   22    22   -4.6790236387332295e-03
   23     0   -8.3620614456587240e-17
   23     1   -1.2849347805600752e-16
   23     2   -1.2453896931161721e-16
   23     3   -5.6196811321525243e-17
   23     4   -1.0492595668709186e-17
   23     5   -1.1292211178758526e-17
   23     6   -2.3667311009068218e-17
   23     7   -1.2502301698351788e-16
   23     8   -1.2254272555693402e-16
   23     9   -2.5558705419626598e-16
   23    10   -1.7663386531381369e-16
   23    11   -1.6893894460684936e-16
   23    12   -3.6466745620790562e-16
   23    13   -1.7034482497027093e-16
   23    14   -1.5146101964339687e-16
   23    15   -2.8470585292930713e-16
   23    16   -1.0648699664738240e-16
   23    17   -8.3232528739506756e-17
   23    18   -9.2668776832639077e-17
   23    19   -4.1615291928398964e-17
   23    20   -2.9167293250251583e-17
   23    21   -8.4295978816968362e-18
   23    22   -3.3211164381281590e-17
   23    23    1.0444501817377423e-31
   24     0   -3.6594435462870579e-17
   24     1   -7.7897788529744979e-17
   24     2   -7.5837665738797862e-17
   24     3   -1.2415574732475170e-16
   24     4   -5.1673541665144856e-17
   24     5    4.2023296693155643e-17
   24     6    5.6079601358628022e-17
   24     7   -2.7254667627595600e-02
   24     8   -3.2026741338089356e-16
   24     9   -5.1106160337860516e-18
   24    10   -3.7382958710333446e-02
   24    11   -4.1047727681444897e-16
   24    12   -3.4965359835561465e-17
   24    13   -3.2980955957512555e-02
   24    14   -2.8406926538087692e-16
   24    15   -1.1780816285466128e-16
   24    16   -1.7549796142746165e-02
   24    17   -1.3277509297737986e-17
   24    18   -3.7031908930681647e-17
   24    19   -5.9582897188632826e-03
   24    20    1.6208277889049034e-16
   24    21    7.2576982595331722e-17
   24    22   -8.4988823717594337e-17
   24    23    5.6438521996664313e-18
